Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
08-05-2018,1177.9,1177.9,1161.05,1165.55,3338246179,121067,2859278
07-05-2018,1181.25,1190,1175.5,1183,2740857605,66189,2319480
04-05-2018,1185,1186,1155,1173.1,3510129249,92619,3011684
03-05-2018,1197.25,1204.7,1176.1,1182.55,3187761546,114003,2666115
02-05-2018,1198.9,1201.6,1181,1197.05,6139572653,98610,5147521
30-04-2018,1181.7,1207.95,1180.65,1199.5,3306404000.25,80599,2755839
27-04-2018,1180,1191.6,1174.2,1185.2,4536321753,103259,3831685
26-04-2018,1174,1181.65,1160,1176.45,6627322945,120489,5651042
25-04-2018,1152,1171,1145.2,1160.35,6729546265,122892,5797089
24-04-2018,1185,1196.4,1150.1,1154.5,4982039811,87918,4263108
23-04-2018,1168,1214.4,1155.25,1187.7,12954180381,190031,10915319
20-04-2018,1139,1193.7,1136.95,1178.45,14221070742,213680,12136346
19-04-2018,1124,1139.8,1123.1,1132.85,4828035904,119470,4262771
18-04-2018,1122.85,1134.75,1113.85,1125.95,5863305787,121114,5215190
17-04-2018,1127,1127.4,1115,1125.2,5831317996,203792,5198970
16-04-2018,1102,1140,1102,1133.2,13927236193,201992,12372542
13-04-2018,1174,1185.9,1150.25,1171.45,12442924999,180965,10613519
12-04-2018,1129.45,1172.75,1125,1162.6,9866189147,216130,8522183
11-04-2018,1118,1131.5,1116.5,1124.25,5075891573,102586,4512787
10-04-2018,1112,1124.5,1105.4,1113.4,4979728695,144468,4463029
09-04-2018,1125,1125.8,1106.55,1111.25,4008832077,171118,3601441
06-04-2018,1143,1146,1122.1,1127,3351285043,137277,2968871
05-04-2018,1139.55,1151.3,1129.1,1147.55,4427993460,101745,3881772
04-04-2018,1144,1144.55,1120,1124.2,2723878713,137029,2406651
03-04-2018,1134.7,1143.55,1128.1,1140.45,2314226757,114034,2038584
02-04-2018,1141,1149.55,1121.3,1137.15,4584716920,142078,4036351
28-03-2018,1150.75,1150.75,1126.25,1131.8,7134252851,118878,6279161
27-03-2018,1160,1161.3,1150.1,1154,2194657346,67860,1901044
26-03-2018,1166.9,1166.9,1144,1155.25,5149317139,101964,4465361
23-03-2018,1147,1173.8,1142.35,1167.6,6992254285,117145,6004042
22-03-2018,1164.5,1177.45,1155.3,1161.3,3977430906,82774,3406584
21-03-2018,1170,1175.5,1162.2,1167.5,4506270593,121529,3846497
20-03-2018,1148.6,1170,1148.6,1164.55,4960076508,111232,4276883
19-03-2018,1164,1180.5,1142.65,1146.75,4353937862,114366,3763310
16-03-2018,1182,1182.4,1169.25,1171.9,10530177258,156251,8977413
15-03-2018,1180,1188.4,1172,1182.5,3602569982,49232,3050750
14-03-2018,1180,1190.6,1169.1,1180.8,2614111790,54069,2214855
13-03-2018,1180.2,1197,1175.15,1183.8,5093652781,101093,4290526
12-03-2018,1176,1191.85,1171.75,1185.75,4553456409,82530,3838485
09-03-2018,1162.35,1166,1155.55,1163.4,2453138902,83674,2110482
08-03-2018,1149,1165.8,1149,1156.65,3529721779,110975,3046507
07-03-2018,1155,1160,1138.05,1144.1,3657594848,91049,3185208
06-03-2018,1162.55,1165.4,1143.6,1151.35,3872054670,123734,3344867
05-03-2018,1160.75,1170.8,1143.25,1155.9,4693511961,150137,4050728
01-03-2018,1169.6,1169.6,1156.05,1160.75,3822336358,95568,3289926
28-02-2018,1147.6,1189.5,1142.55,1172.6,10120034870,229051,8634208
27-02-2018,1144.95,1153.65,1125.65,1150.2,3768101539,140175,3308013
26-02-2018,1151,1155.05,1134.35,1138.6,2904793410,76083,2541804
23-02-2018,1163.5,1166,1146.75,1155.65,5477635155,128746,4729914
22-02-2018,1145.55,1164,1140.45,1160.75,10333995037,151810,8929987
21-02-2018,1147.5,1151.9,1140,1147.4,7897738207,169230,6885679
20-02-2018,1103.75,1149.5,1103.75,1136.95,4101611225,97878,3594297
19-02-2018,1128.4,1136,1120.3,1131.75,3648227633,83364,3230920
16-02-2018,1125,1141.65,1118.1,1128.05,5579126434,108882,4944611
15-02-2018,1103,1129.7,1103,1114.45,4468413993,99941,3993368
14-02-2018,1106,1117.3,1090.2,1097.75,4618905280,113292,4172856
12-02-2018,1114.8,1120.6,1097.8,1102.8,3482147220,52343,3145986
09-02-2018,1118,1120.3,1106,1109.15,2438184786,88836,2191345
08-02-2018,1122.8,1146.4,1116.55,1134.25,5013613141,105295,4403622
07-02-2018,1116,1124.8,1103.55,1109.05,4644378627,147324,4171028
06-02-2018,1099.95,1128.35,1095.15,1107.75,5876800709,136315,5276039
05-02-2018,1140,1154.85,1135.85,1138.2,5636743205,146880,4930110
02-02-2018,1135.25,1162.9,1130.1,1143.25,5864360400,112441,5122243
01-02-2018,1142.2,1157.9,1118.55,1144.6,7420853135,147460,6502727
31-01-2018,1159.15,1166.6,1142.15,1150.25,5315999681,118772,4606849
30-01-2018,1178.9,1183.1,1162.7,1170.65,5044647007,139977,4314156
29-01-2018,1166.55,1196.25,1165.2,1182.9,6413293460,188700,5411501
25-01-2018,1182,1183.4,1162.25,1175.4,7936550004,137327,6774457
24-01-2018,1174.8,1221.05,1167.5,1185.8,12316700910,204464,10302359
23-01-2018,1155,1188,1155,1177.1,9063945901,178542,7701898
22-01-2018,1132.15,1156.95,1132,1150,5521427259,136884,4825107
19-01-2018,1145,1147.9,1136,1143.45,3419578450,104184,2994139
18-01-2018,1145,1164.9,1132.1,1152.7,7580886446,148758,6602485
17-01-2018,1124.85,1161.8,1123,1152.1,15051075123,331838,13077044
16-01-2018,1081.25,1134.8,1081.25,1122.85,12645064684,222629,11323483
15-01-2018,1080,1092.95,1065.1,1081.15,5755343849,132189,5324625
12-01-2018,1085.8,1085.9,1070.55,1078.45,9702068541,138377,9008264
11-01-2018,1055.25,1083.4,1055.25,1075.8,8973696876,134085,8387735
10-01-2018,1046.8,1056,1033.05,1052.25,4942421496,100562,4734317
09-01-2018,1040,1044.9,1028.9,1041.35,5155470379,119611,4974118
08-01-2018,1024.9,1039,1020.05,1036.05,2879337346,73704,2797345
05-01-2018,1015.3,1026.4,1006,1012,5584193774,134727,5512988
04-01-2018,1021,1021,1009.6,1015.4,4538566058,81236,4473807
03-01-2018,1028.5,1031.6,1018.6,1021.3,3500475319,132588,3423276
02-01-2018,1037.25,1042,1023,1029.7,3152175059,122157,3056124
01-01-2018,1037.7,1044.5,1030,1033.55,2814045584,65839,2715670
29-12-2017,1030.1,1048.8,1030,1042.05,3437461626,83693,3300884
28-12-2017,1030,1040,1023.8,1033.25,4361825789,107124,4216736
27-12-2017,1028,1039.1,1027.4,1034.25,3603591315,101607,3485086
26-12-2017,1030,1041.5,1023,1035.6,5592980614,137301,5404453
22-12-2017,1016,1044.8,1016,1039.35,6680838538,148038,6453470
21-12-2017,1014.8,1028.95,998.4,1022.05,5612359298,132258,5529581
20-12-2017,1005.1,1018.6,1001,1015.85,2116374407,68366,2093163
19-12-2017,1017.45,1017.95,999.55,1003.95,3585173633,87491,3559449
18-12-2017,1011.9,1030.7,1005.8,1016.6,2056905715,67395,2017724
15-12-2017,1013,1026.4,1011.85,1022.9,5291809165,117970,5192067
14-12-2017,1005.25,1015,999.3,1013.1,3042976537,97393,3011786
13-12-2017,1010.9,1019,997.65,1003.75,2709482013,89418,2681199
12-12-2017,1002,1014,1002,1010.5,4704066529,125676,4660217
11-12-2017,994.95,1006.9,993.95,1005.3,2571485667,64951,2569549
08-12-2017,1001,1007,995,1001.85,2998343941,109714,2991622
07-12-2017,989,1002.9,985.6,999.8,3759492032,106502,3774772
06-12-2017,985,994.1,984,990.3,3705251090,121883,3745047
05-12-2017,985.35,1003,979,984.35,4943095296,106371,4988369
04-12-2017,980,996.8,968.55,985.35,8778677871,150296,8905803
01-12-2017,979.4,983.2,957.05,958.8,1973590610,49881,2042500
30-11-2017,989.45,989.45,968.35,976.1,8445010644,126288,8633472
29-11-2017,987.65,991.95,980.3,982.7,1889032576,50324,1919035
28-11-2017,994.4,999.9,981.3,984.7,2282406446,61722,2308434
27-11-2017,1006.7,1006.7,993.3,998.75,3002607598,75428,3008865
24-11-2017,990.9,1019.3,990.2,1009.55,9403912992,180427,9309956
23-11-2017,971.5,994.45,969,991.25,5856291708,141525,5947309
22-11-2017,966.6,971.05,963.3,966.3,2940669553,57418,3042460
21-11-2017,961.3,971.5,960.05,966.25,2593469144,74479,2682328
20-11-2017,969,971,957.25,960.55,2721971566,66198,2830595
17-11-2017,985.5,985.5,965.15,970.95,3924263396,178425,4028835
16-11-2017,951.8,995.9,948.5,988.4,7675734065,224690,7843751
15-11-2017,945.15,953.5,944.5,951.8,3338522494,98311,3511758
14-11-2017,951.95,954.85,943.25,949.1,2719052888,74967,2866855
13-11-2017,962.05,969.4,949.35,951.95,2405762223,58964,2510608
10-11-2017,958.8,964.35,950,962.05,3161144505,63848,3294714
09-11-2017,953,963,948.25,954.5,2255155224,67747,2361616
08-11-2017,960.25,961.85,947.5,952.3,2564719195,88636,2684997
07-11-2017,926.25,960,925.85,955.5,6393285439,145532,6721410
06-11-2017,923.15,935,922.65,928.7,2349782381,69707,2533267
03-11-2017,917,929.9,916.95,926.65,1713353953,51904,1849543
02-11-2017,923.05,926,920,922.9,2162955678,81286,2343069
01-11-2017,925,929.4,923.3,927.05,2607904113,59211,2816567
31-10-2017,925,930,920,921.85,4602897345,68301,4977494
30-10-2017,954.65,954.65,941.05,944.1,6140238516,120848,6484163
27-10-2017,955,957.7,944,946.35,4044495152,108092,4262478
26-10-2017,942,951.8,940.1,947.35,15928597286,144857,16829629
25-10-2017,919,944.7,915.25,935.3,6530973260,176833,6992067
24-10-2017,946,946.65,921.6,926.5,6782341418,117978,7264664
23-10-2017,930,942,928.1,939.5,4284920340,105211,4577048
19-10-2017,930,932,925.2,926.95,506094102.6,13886,545717
18-10-2017,928.9,930,922.95,924.35,3350868643,78889,3615926
17-10-2017,936.8,936.8,929.5,930.5,2621611619,77515,2812551
16-10-2017,935.95,942,933,939,2700304306,78589,2879375
13-10-2017,932.8,933.5,927.55,930.1,3337968430,104364,3590364
12-10-2017,930,934.35,919.55,927.3,4753015820,108653,5140486
11-10-2017,935.45,938,928,930.7,2788647778,95474,2991252
10-10-2017,939.95,939.95,929.55,935.45,3341105876,103093,3571610
09-10-2017,920,929,914,923.9,1618746285,39646,1752416
06-10-2017,904,922,903.95,920.15,3929315140,76214,4287154
05-10-2017,900,904.95,899,903.05,3887063883,46048,4305650
04-10-2017,903,905.4,897.15,899.6,2248997167,81198,2495746
03-10-2017,910.1,912,901.6,903.55,2240392336,98569,2473761
29-09-2017,898,902.4,895,899.9,2565651057,79579,2852916
28-09-2017,896.1,903.9,894.3,896,7871666208,135425,8768633
27-09-2017,906.1,907.9,895.1,899.8,2701542236,88378,3000069
26-09-2017,897,908.4,894.3,905.9,3315416203,101232,3683239
25-09-2017,901,901.95,889.1,895.35,4064084916,83796,4544350
22-09-2017,908.15,910.25,888,898.3,7898273388,101141,8802044
21-09-2017,915,915.25,908.15,909.55,3736951963,42387,4102076
